year_month,lodged,granted,grant_rate,refusal_rate,cal_month,month_name,rolling_3m
2015-05,500,269,69.51,30.49,5,May,82.79
2015-06,1087,546,83.61,16.39,6,June,79.74
2015-07,886,1245,94.82,5.18,7,July,82.65
2015-08,1079,618,88.54,11.46,8,August,88.99
2015-09,892,798,85.44,14.56,9,September,89.6
2015-10,722,753,91.27,8.73,10,October,88.42
2015-11,709,686,92.58,7.42,11,November,89.76
2015-12,867,345,65.97,34.03,12,December,83.27
2016-01,946,969,82.89,17.11,1,January,80.48
2016-02,1229,1252,89.94,10.06,2,February,79.6
2016-03,1074,951,85.99,14.01,3,March,86.27
2016-04,726,810,87.66,12.34,4,April,87.86
2016-05,1109,789,89.86,10.14,5,May,87.84
2016-06,2463,1439,91.42,8.58,6,June,89.65
2016-07,973,1479,90.62,9.38,7,July,90.63
2016-08,1681,668,76.17,23.83,8,August,86.07
2016-09,1390,1592,89.89,10.11,9,September,85.56
2016-10,1232,1252,87.86,12.14,10,October,84.64
2016-11,994,1397,89.49,10.51,11,November,89.08
2016-12,1741,892,89.2,10.8,12,December,88.85
2017-01,2772,2199,91.62,8.38,1,January,90.1
2017-02,2511,2334,89.53,10.47,2,February,90.12
2017-03,3120,2210,83.65,16.35,3,March,88.27
2017-04,1469,1298,80.07,19.93,4,April,84.42
2017-05,2102,1159,73.45,26.55,5,May,79.06
2017-06,3106,2027,83.59,16.41,6,June,79.04
2017-07,1806,2360,88.29,11.71,7,July,81.78
2017-08,2461,1618,83.1,16.9,8,August,84.99
2017-09,2183,1388,86.64,13.36,9,September,86.01
2017-10,1497,1960,84.78,15.22,10,October,84.84
2017-11,1579,1444,85.14,14.86,11,November,85.52
2017-12,2234,1101,87.87,12.13,12,December,85.93
2018-01,3076,2560,86.96,13.04,1,January,86.66
2018-02,3364,3261,85.61,14.39,2,February,86.81
2018-03,3223,2328,81.06,18.94,3,March,84.54
2018-04,2475,2066,83.11,16.89,4,April,83.26
2018-05,3047,3177,87.06,12.94,5,May,83.74
2018-06,4212,3316,88.33,11.67,6,June,86.17
2018-07,3261,3162,81.94,18.06,7,July,85.78
2018-08,3597,2321,81.41,18.59,8,August,83.89
2018-09,3483,1982,83.52,16.48,9,September,82.29
2018-10,3148,2787,81.49,18.51,10,October,82.14
2018-11,2565,2237,85.58,14.42,11,November,83.53
2018-12,3639,2132,82.51,17.49,12,December,83.19
2019-01,4368,2106,78.32,21.68,1,January,82.14
2019-02,4325,3428,78.43,21.57,2,February,79.75
2019-03,4714,3103,75.46,24.54,3,March,77.4
2019-04,3395,2641,82.63,17.37,4,April,78.84
2019-05,3266,3124,75.15,24.85,5,May,77.75
2019-06,3429,2776,82.11,17.89,6,June,79.96
2019-07,2843,2645,72.93,27.07,7,July,76.73
2019-08,3426,1853,69.64,30.36,8,August,74.89
2019-09,3337,2028,84.36,15.64,9,September,75.64
2019-10,2189,2552,85.9,14.1,10,October,79.97
2019-11,2016,2162,78.02,21.98,11,November,82.76
2019-12,2382,1480,76.56,23.44,12,December,80.16
2020-01,2944,2247,83.5,16.5,1,January,79.36
2020-02,3558,2821,85.38,14.62,2,February,81.81
2020-03,4249,2300,89.42,10.58,3,March,86.1
2020-04,1412,1270,100.0,0.0,4,April,91.6
2020-05,1078,1482,100.0,0.0,5,May,96.47
2020-06,1165,1605,100.0,0.0,6,June,100.0
2020-07,1481,1435,98.09,1.91,7,July,99.36
2020-08,2646,1411,91.39,8.61,8,August,96.49
2020-09,2394,1641,90.56,9.44,9,September,93.35
2020-10,1476,2149,93.68,6.32,10,October,91.88
2020-11,1569,1826,95.45,4.55,11,November,93.23
2020-12,1849,1578,93.93,6.07,12,December,94.35
2021-01,1527,1632,88.99,11.01,1,January,92.79
2021-02,2556,1766,88.12,11.88,2,February,90.35
2021-03,4972,1948,87.16,12.84,3,March,88.09
2021-04,1959,1477,93.3,6.7,4,April,89.53
2021-05,1309,1703,94.56,5.44,5,May,91.67
2021-06,1263,2019,88.05,11.95,6,June,91.97
2021-07,1279,2069,88.68,11.32,7,July,90.43
2021-08,2310,1328,92.41,7.59,8,August,89.71
2021-09,2200,999,90.16,9.84,9,September,90.42
2021-10,1118,744,84.16,15.84,10,October,88.91
2021-11,1403,1205,90.06,9.94,11,November,88.13
2021-12,2254,1992,95.77,4.23,12,December,90.0
2022-01,3545,2532,93.16,6.84,1,January,93.0
2022-02,5608,3849,92.99,7.01,2,February,93.97
2022-03,7655,4818,92.98,7.02,3,March,93.04
2022-04,5241,3201,91.85,8.15,4,April,92.61
2022-05,6459,4037,87.65,12.35,5,May,90.83
2022-06,7210,3893,69.33,30.67,6,June,82.94
2022-07,4635,3715,63.94,36.06,7,July,73.64
2022-08,4192,1831,73.53,26.47,8,August,68.93
2022-09,2675,813,24.79,75.21,9,September,54.09
2022-10,1530,1282,41.77,58.23,10,October,46.7
2022-11,2365,4437,76.55,23.45,11,November,47.7
2022-12,3008,9537,90.16,9.84,12,December,69.49
2023-01,4096,2660,72.34,27.66,1,January,79.68
2023-02,5248,3198,75.16,24.84,2,February,79.22
2023-03,5202,3647,72.55,27.45,3,March,73.35
2023-04,3754,2755,65.83,34.17,4,April,71.18
2023-05,4571,3605,65.61,34.39,5,May,68.0
2023-06,6056,3251,67.56,32.44,6,June,66.33
2023-07,3288,2034,59.75,40.25,7,July,64.31
2023-08,3255,1928,58.55,41.45,8,August,61.95
2023-09,2729,1678,56.61,43.39,9,September,58.3
2023-10,2481,1571,66.85,33.15,10,October,60.67
2023-11,2055,1595,65.18,34.82,11,November,62.88
2023-12,2981,1482,75.69,24.31,12,December,69.24
2024-01,3926,2141,69.9,30.1,1,January,70.26
2024-02,3396,1789,66.78,33.22,2,February,70.79
2024-03,4564,780,76.85,23.15,3,March,71.18
2024-04,2296,928,69.62,30.38,4,April,71.08
2024-05,3174,1279,71.49,28.51,5,May,72.65
2024-06,7810,2192,86.03,13.97,6,June,75.71
2024-07,2451,2154,77.71,22.29,7,July,78.41
2024-08,3021,2340,82.95,17.05,8,August,82.23
2024-09,2837,1488,68.76,31.24,9,September,76.47
2024-10,2061,2465,76.74,23.26,10,October,76.15
2024-11,1915,2755,79.86,20.14,11,November,75.12
2024-12,2640,2137,78.94,21.06,12,December,78.51
2025-01,2045,2508,83.52,16.48,1,January,80.77
2025-02,2598,2874,74.88,25.12,2,February,79.11
2025-03,4830,2269,81.74,18.26,3,March,80.05
2025-04,3478,3331,80.23,19.77,4,April,78.95
2025-05,3811,2835,86.78,13.22,5,May,82.92
2025-06,6161,4713,90.98,9.02,6,June,86.0
2025-07,3291,3787,89.95,10.05,7,July,89.24
2025-08,4757,3011,86.75,13.25,8,August,89.23
2025-09,4888,3857,80.14,19.86,9,September,85.61
2025-10,3263,3940,77.36,22.64,10,October,81.42
2025-11,3183,2590,68.7,31.3,11,November,75.4
2025-12,3707,1613,71.34,28.66,12,December,72.47
2026-01,4644,2139,53.99,46.01,1,January,64.68
2026-02,3132,2473,51.11,48.89,2,February,58.81
2026-03,4553,2061,42.42,57.58,3,March,49.17
2026-04,2764,2089,69.7,30.3,4,April,54.41
2026-05,2819,1680,55.93,44.07,5,May,56.02
